Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
323,input/TTF\Firefox 2023-05-22 19.42 profile(2).json,31903903,2482.074074074074,0.003199741667,205.693,113.308,166.7,159.889
324,input/TTF\Firefox 2023-05-22 19.42 profile.json,35163095,2940.497512437811,0.0032481458329999997,209.974,119.392,161.615,172.87
325,input/TTF\Firefox 2023-05-22 19.43 profile(1).json,32079892,2369.2,0.003377404166,209.581,144.418,150.025,180.684
326,input/TTF\Firefox 2023-05-22 19.43 profile.json,33181013,4230.227027027027,0.0028491124999999997,186.318,110.709,146.859,156.351
327,input/TTF\Firefox 2023-05-22 19.44 profile(1).json,30502892,2903.6666666666665,0.003211095833,205.603,132.244,170.254,173.967
328,input/TTF\Firefox 2023-05-22 19.44 profile(2).json,32290411,2729.52,0.003693070834,237.227,167.571,198.617,197.837
329,input/TTF\Firefox 2023-05-22 19.44 profile.json,32024131,2565.522842639594,0.003060820834,193.358,122.447,155.023,160.258
330,input/TTF\Firefox 2023-05-22 19.45 profile(1).json,32330725,3434.6138613861385,0.0032197333329999998,210.566,120.874,141.176,172.226
331,input/TTF\Firefox 2023-05-22 19.45 profile.json,31156146,3056.492307692308,0.00315205,195.877,126.481,161.237,167.961
332,input/TTF\Firefox 2023-05-22 19.46 profile(1).json,30959308,3050.268656716418,0.0032141375,206.871,122.416,161.749,166.674
333,input/TTF\Firefox 2023-05-22 19.46 profile(2).json,32212423,2343.402985074627,0.003183516666,202.207,131.82,165.967,166.023
334,input/TTF\Firefox 2023-05-22 19.46 profile.json,32401250,2283.3207547169814,0.0033270624999999997,215.26,146.224,181.426,185.531
335,input/TTF\Firefox 2023-05-22 19.47 profile(1).json,30774689,2913.6,0.003139925,196.597,128.051,157.955,157.107
336,input/TTF\Firefox 2023-05-22 19.47 profile.json,30931629,2868.3715846994537,0.002488870834,195.484,135.086,150.653,162.415
337,input/TTF\Firefox 2023-05-22 19.48 profile(1).json,32857101,2623.609756097561,0.0036105,232.355,152.058,184.275,194.968
338,input/TTF\Firefox 2023-05-22 19.48 profile(2).json,30904984,3639.405714285714,0.0027873625,197.019,127.831,137.625,160.995
339,input/TTF\Firefox 2023-05-22 19.48 profile.json,31629089,1741.942857142857,0.0035093,224.541,152.192,186.301,186.307
340,input/TTF\Firefox 2023-05-22 19.49 profile(1).json,31210653,3206.2417582417584,0.0031236375,201.113,134.245,156.606,169.505
341,input/TTF\Firefox 2023-05-22 19.49 profile.json,31329591,3048.316384180791,0.0031115624999999997,208.505,124.805,161.679,167.74
342,input/TTF\Firefox 2023-05-22 19.50 profile(1).json,31762376,3008.723163841808,0.003096308334,201.116,140.498,167.957,173.339
343,input/TTF\Firefox 2023-05-22 19.50 profile(2).json,30829322,1851.7720207253885,0.0027344875,203.622,132.004,163.265,167.112
344,input/TTF\Firefox 2023-05-22 19.50 profile.json,30651139,3276.521739130435,0.002457354167,192.503,130.083,161.648,163.864
345,input/TTF\Firefox 2023-05-22 19.51 profile.json,34660415,2278.910798122066,0.003822841667,241.996,164.387,186.352,206.657
346,input/TTF\Firefox 2023-05-22 19.52 profile(1).json,31951700,2410.219895287958,0.0032309,201.598,140.202,161.131,160.475
347,input/TTF\Firefox 2023-05-22 19.52 profile(2).json,31269707,2534.3366336633662,0.003374895833,230.297,140.63,202.446,191.671
348,input/TTF\Firefox 2023-05-22 19.52 profile.json,32040291,1648.0780487804877,0.003747241667,238.259,157.298,197.649,194.288
349,input/TTF\Firefox 2023-05-22 19.53 profile(1).json,29887323,3916.5508982035926,0.002754379167,190.266,134.249,148.778,148.788
350,input/TTF\Firefox 2023-05-22 19.53 profile.json,30699481,2616.0,0.0032923875,214.502,131.541,169.902,177.885
351,input/TTF\Firefox 2023-05-22 19.54 profile(1).json,32715792,2208.3960396039606,0.003263804167,203.988,119.246,154.133,164.285
352,input/TTF\Firefox 2023-05-22 19.54 profile(2).json,32114752,2670.3419689119173,0.003179845833,195.83,124.13,152.581,159.633
353,input/TTF\Firefox 2023-05-22 19.54 profile.json,32547211,4123.689119170985,0.003017691667,214.181,141.532,183.08,173.783
354,input/TTF\Firefox 2023-05-22 19.55 profile(1).json,33174615,3191.7989949748744,0.003345533333,209.323,132.174,162.808,174.016
355,input/TTF\Firefox 2023-05-22 19.55 profile.json,33400529,3417.407035175879,0.002966808334,202.379,129.65,160.15,170.351
356,input/TTF\Firefox 2023-05-22 19.56 profile(1).json,33289416,2627.7603686635944,0.002883579167,222.507,131.93,169.618,181.143
357,input/TTF\Firefox 2023-05-22 19.56 profile(2).json,31325944,2677.6923076923076,0.0028550625,208.014,118.131,172.808,169.451
358,input/TTF\Firefox 2023-05-22 19.56 profile.json,30407733,2117.9701492537315,0.003493491666,241.562,140.943,202.989,203.665
359,input/TTF\Firefox 2023-05-22 19.57 profile(1).json,33581346,3299.3684210526317,0.003260491667,210.303,142.618,167.029,173.661
360,input/TTF\Firefox 2023-05-22 19.57 profile.json,30887165,3432.266666666667,0.00311335,202.016,117.313,160.444,164.417
361,input/TTF\Firefox 2023-05-22 19.58 profile(1).json,31755177,2967.7098445595857,0.003145954167,216.471,128.99,180.683,175.572
362,input/TTF\Firefox 2023-05-22 19.58 profile(2).json,33565503,2165.3333333333335,0.003493570833,219.614,133.667,171.691,181.383
363,input/TTF\Firefox 2023-05-22 19.58 profile.json,31986002,3171.2688172043013,0.002685720833,190.823,131.309,156.112,161.604
364,input/TTF\Firefox 2023-05-22 19.59 profile(1).json,30650313,2401.623188405797,0.003416725,218.341,154.959,183.328,182.677
365,input/TTF\Firefox 2023-05-22 19.59 profile.json,33626007,2256.6260869565217,0.003958608334,254.599,178.407,210.794,223.235
366,input/TTF\Firefox 2023-05-22 20.00 profile(1).json,30124406,2619.4846625766872,0.0033670958329999998,212.309,137.691,171.837,171.076
367,input/TTF\Firefox 2023-05-22 20.00 profile(2).json,33144576,3254.4663212435235,0.0033308083329999997,209.763,137.57,155.457,173.562
368,input/TTF\Firefox 2023-05-22 20.00 profile.json,31890659,1600.1616161616162,0.0034258833339999998,219.87,140.389,173.205,184.499
369,input/TTF\Firefox 2023-05-22 20.01 profile(1).json,30934586,2786.3333333333335,0.003254075,211.526,125.719,172.038,172.023
370,input/TTF\Firefox 2023-05-22 20.01 profile.json,33123403,2717.52,0.003262716667,205.881,125.192,162.343,167.711
371,input/TTF\Firefox 2023-05-22 20.02 profile(1).json,32418018,1974.6602870813397,0.0029539375,205.036,122.177,151.301,171.826
372,input/TTF\Firefox 2023-05-22 20.02 profile(2).json,32298004,3008.084656084656,0.0032238125,207.147,132.016,169.9,169.157
373,input/TTF\Firefox 2023-05-22 20.02 profile.json,30531234,1998.4,0.0034132875,228.805,152.18,189.862,189.841
374,input/TTF\Firefox 2023-05-22 20.03 profile(1).json,31399339,2857.772972972973,0.0033675124999999998,213.943,128.233,169.083,174.671
375,input/TTF\Firefox 2023-05-22 20.03 profile(2).json,33496736,3325.061224489796,0.00336295,206.4,137.931,157.828,170.127
376,input/TTF\Firefox 2023-05-22 20.03 profile.json,30393710,3752.3934426229507,0.0030499375,205.605,135.701,169.237,172.564
377,input/TTF\Firefox 2023-05-22 20.04 profile(1).json,32499308,2475.5555555555557,0.003334908334,215.306,143.763,160.183,169.629
378,input/TTF\Firefox 2023-05-22 20.04 profile.json,31534032,2855.75,0.0027660125,181.896,110.977,136.665,142.93
379,input/TTF\Firefox 2023-05-22 20.05 profile(1).json,32893772,2295.4202898550725,0.003347441666,209.487,126.074,152.434,170.839
380,input/TTF\Firefox 2023-05-22 20.05 profile(2).json,32411583,2287.474178403756,0.003389816667,211.328,130.128,180.682,180.633
381,input/TTF\Firefox 2023-05-22 20.05 profile.json,34063422,1676.509090909091,0.003611745833,235.429,157.654,194.168,193.456
382,input/TTF\Firefox 2023-05-22 20.06 profile(1).json,32593431,2805.492537313433,0.003138579167,199.767,125.015,159.167,159.014
383,input/TTF\Firefox 2023-05-22 20.06 profile.json,32381254,3095.2258064516127,0.0032325208329999997,207.599,124.407,162.533,168.303
384,input/TTF\Firefox 2023-05-22 20.07 profile(1).json,32777789,2871.220512820513,0.003477304166,216.467,125.164,182.07,172.409
385,input/TTF\Firefox 2023-05-22 20.07 profile(2).json,30729116,2610.32,0.003418808333,218.384,138.783,177.677,180.184
386,input/TTF\Firefox 2023-05-22 20.07 profile.json,32776197,2173.6354679802957,0.003220083334,204.227,133.551,161.597,173.562
387,input/TTF\Firefox 2023-05-22 20.08 profile(1).json,32337835,2485.9591836734694,0.003287195833,208.652,120.255,166.365,169.226
388,input/TTF\Firefox 2023-05-22 20.08 profile.json,32909802,2929.631067961165,0.0031740625,200.55,128.91,160.033,172.066
389,input/TTF\Firefox 2023-05-22 20.09 profile(1).json,31653979,2716.0591133004928,0.003155508334,209.987,130.812,175.55,174.928
390,input/TTF\Firefox 2023-05-22 20.09 profile(2).json,32703338,3227.8882681564246,0.003287970834,215.86,145.114,168.517,185.651
391,input/TTF\Firefox 2023-05-22 20.09 profile.json,32713422,3676.8914285714286,0.002984695833,188.566,122.953,139.936,159.413
392,input/TTF\Firefox 2023-05-22 20.10 profile(1).json,32284443,3912.6746987951806,0.0031094708329999997,198.217,126.586,146.371,158.787
393,input/TTF\Firefox 2023-05-22 20.10 profile.json,30923506,2196.6480446927376,0.003404054167,217.21,139.585,178.263,177.578
394,input/TTF\Firefox 2023-05-22 20.11 profile(1).json,30431301,3995.288343558282,0.003067041666,201.372,142.786,150.797,160.734
395,input/TTF\Firefox 2023-05-22 20.11 profile(2).json,32992284,3122.984455958549,0.003363804167,216.971,140.411,158.421,177.47
396,input/TTF\Firefox 2023-05-22 20.11 profile.json,34530222,2538.740740740741,0.0033961125,230.947,148.013,182.259,195.037
397,input/TTF\Firefox 2023-05-22 20.12 profile(1).json,32629977,2849.6153846153848,0.003375066667,215.9,143.531,171.965,175.072
398,input/TTF\Firefox 2023-05-22 20.12 profile.json,32862974,2250.7677725118483,0.003191241667,215.969,141.528,175.236,179.958
399,input/TTF\Firefox 2023-05-22 20.13 profile(1).json,32945059,2565.1979695431473,0.0031737749999999998,201.247,135.859,165.881,171.711
400,input/TTF\Firefox 2023-05-22 20.13 profile(2).json,32275596,2836.6965174129355,0.003394629167,220.425,152.625,171.746,183.511
401,input/TTF\Firefox 2023-05-22 20.13 profile.json,31573427,2167.461139896373,0.003295041666,206.004,129.575,168.669,167.302
402,input/TTF\Firefox 2023-05-22 20.14 profile(1).json,32120361,3355.154285714286,0.003192729166,200.368,126.219,155.167,160.311
403,input/TTF\Firefox 2023-05-22 20.14 profile.json,31862818,3270.4175824175823,0.002808166667,188.865,111.87,141.288,157.856
404,input/TTF\Firefox 2023-05-22 20.15 profile(1).json,31649259,2937.117318435754,0.002826366667,192.941,132.776,164.361,160.319
405,input/TTF\Firefox 2023-05-22 20.15 profile(2).json,32345227,3082.1094527363184,0.003426095834,214.549,142.254,172.313,175.132
406,input/TTF\Firefox 2023-05-22 20.15 profile.json,31914329,2768.4824120603016,0.003283491667,212.656,143.632,178.144,172.094
407,input/TTF\Firefox 2023-05-22 20.16 profile(1).json,31187588,3525.835294117647,0.0029969,195.024,120.083,148.05,150.456
408,input/TTF\Firefox 2023-05-22 20.16 profile.json,34195610,3173.035532994924,0.003337108333,217.917,131.5,177.393,189.033
409,input/TTF\Firefox 2023-05-22 20.17 profile(1).json,32715378,3066.978723404255,0.0032763541669999998,203.047,125.718,148.259,165.109
410,input/TTF\Firefox 2023-05-22 20.17 profile(2).json,31832869,3469.754385964912,0.002827654166,186.232,120.951,145.943,146.063
411,input/TTF\Firefox 2023-05-22 20.17 profile.json,33018175,2026.4077669902913,0.003416291666,219.057,134.188,169.457,174.144
412,input/TTF\Firefox 2023-05-22 20.18 profile(1).json,32258663,2648.595744680851,0.0029272375,195.8,118.195,147.903,154.674
413,input/TTF\Firefox 2023-05-22 20.18 profile.json,32541249,2543.2039800995026,0.003218358334,205.132,130.989,163.181,165.29
414,input/TTF\Firefox 2023-05-22 20.19 profile(1).json,33766645,2958.868686868687,0.0033412,212.989,142.143,158.772,175.902
415,input/TTF\Firefox 2023-05-22 20.19 profile(2).json,31716158,1784.4123711340205,0.003298033334,220.697,144.598,186.305,186.304
416,input/TTF\Firefox 2023-05-22 20.19 profile.json,32775711,2937.2631578947367,0.0032889916659999997,208.227,141.393,167.174,168.206
417,input/TTF\Firefox 2023-05-22 20.20 profile(1).json,32573285,3229.76,0.003375991666,208.851,129.841,158.168,167.591
418,input/TTF\Firefox 2023-05-22 20.20 profile.json,32299055,2145.1144278606967,0.003285566666,209.413,130.201,167.767,168.731
419,input/TTF\Firefox 2023-05-22 20.21 profile(1).json,32259905,1810.7076923076922,0.003156575,204.666,133.96,172.094,171.45
420,input/TTF\Firefox 2023-05-22 20.21 profile(2).json,33033347,2852.7567567567567,0.003420154167,226.38,149.414,179.642,193.26
421,input/TTF\Firefox 2023-05-22 20.21 profile.json,33423620,2482.96,0.003303754167,213.301,146.686,172.707,177.494
422,input/TTF\Firefox 2023-05-22 20.22 profile(1).json,32273555,2537.44,0.003313341667,207.04,138.346,160.786,169.612
423,input/TTF\Firefox 2023-05-22 20.22 profile.json,33254756,2635.169811320755,0.003270354166,209.261,134.354,152.72,170.432
424,input/TTF\Firefox 2023-05-22 20.23 profile(1).json,32748294,2653.294685990338,0.003376620833,221.501,151.741,181.78,188.119
425,input/TTF\Firefox 2023-05-22 20.23 profile(2).json,31705710,2409.1304347826085,0.0029556291659999998,202.493,133.257,164.937,165.011
426,input/TTF\Firefox 2023-05-22 20.23 profile.json,33199434,2370.654028436019,0.003503675,215.668,136.553,161.773,177.951
427,input/TTF\Firefox 2023-05-22 20.24 profile(1).json,31887572,2467.3846153846152,0.003520695834,223.895,133.555,178.859,178.731
428,input/TTF\Firefox 2023-05-22 20.24 profile.json,32574733,3453.52,0.003155095833,197.206,113.766,149.644,161.18
429,input/TTF\Firefox 2023-05-22 20.25 profile(1).json,33023732,2221.5833333333335,0.003214283334,205.14,117.739,159.194,170.184
430,input/TTF\Firefox 2023-05-22 20.25 profile(2).json,29990759,2196.4,0.0034923666669999997,226.904,124.17,190.048,190.091
431,input/TTF\Firefox 2023-05-22 20.25 profile.json,30803439,3372.2727272727275,0.003171633334,193.967,114.833,156.355,156.314
432,input/TTF\Firefox 2023-05-22 20.26 profile(1).json,31021060,2379.651282051282,0.00311345,198.4,118.217,152.111,153.93
433,input/TTF\Firefox 2023-05-22 20.26 profile.json,33991089,1913.655172413793,0.0035068916669999998,222.903,135.269,194.162,185.295
434,input/TTF\Firefox 2023-05-22 20.27 profile(1).json,32372871,1717.0,0.003595941667,229.745,162.907,186.882,192.967
435,input/TTF\Firefox 2023-05-22 20.27 profile(2).json,32793120,2272.0,0.003350129167,213.637,130.71,172.481,174.617
436,input/TTF\Firefox 2023-05-22 20.27 profile.json,31944525,2654.954773869347,0.0034978875,220.762,126.29,186.299,185.714
437,input/TTF\Firefox 2023-05-22 20.28 profile(1).json,33699497,2357.4074074074074,0.0038472625,242.934,152.989,182.281,200.675
438,input/TTF\Firefox 2023-05-22 20.28 profile.json,33286207,3231.115577889447,0.003440491666,220.759,131.089,172.523,189.272
439,input/TTF\Firefox 2023-05-22 20.29 profile(1).json,33486979,3038.8,0.003118604166,202.432,130.931,144.275,165.978
440,input/TTF\Firefox 2023-05-22 20.29 profile(2).json,32597210,2974.6735751295337,0.003158408333,193.121,113.088,149.893,156.276
441,input/TTF\Firefox 2023-05-22 20.29 profile.json,31554343,3732.700564971751,0.0023381083329999997,152.941,70.813,107.699,115.894
442,input/TTF\Firefox 2023-05-22 20.30 profile(1).json,31884764,2702.070351758794,0.003246545833,206.141,129.666,162.491,166.929
443,input/TTF\Firefox 2023-05-22 20.30 profile.json,31733871,2401.777777777778,0.002995441667,196.323,132.007,152.229,166.916
444,input/TTF\Firefox 2023-05-22 20.31 profile(1).json,33568371,2250.488038277512,0.003168308333,211.697,140.284,170.912,173.397
445,input/TTF\Firefox 2023-05-22 20.31 profile(2).json,32435098,2467.2432432432433,0.003427629166,225.771,141.968,184.76,188.297
446,input/TTF\Firefox 2023-05-22 20.31 profile.json,30287420,2010.6943005181347,0.0033866708339999997,215.592,127.632,172.001,177.234
447,input/TTF\Firefox 2023-05-22 20.32 profile(1).json,32987358,2556.153846153846,0.0032717749999999998,217.484,135.51,163.987,176.003
448,input/TTF\Firefox 2023-05-22 20.32 profile.json,32246983,2152.0361990950228,0.0038259416669999997,245.564,155.493,205.22,207.903
449,input/TTF\Firefox 2023-05-22 20.33 profile(1).json,33632404,3244.6060606060605,0.003105891667,198.27,126.148,164.173,155.381
450,input/TTF\Firefox 2023-05-22 20.33 profile(2).json,32432818,2807.5621890547263,0.0031925875,203.57,134.651,157.288,168.033
451,input/TTF\Firefox 2023-05-22 20.33 profile.json,32698499,3608.080808080808,0.003177791666,198.853,130.839,143.043,163.41
452,input/TTF\Firefox 2023-05-22 20.34 profile(1).json,31178502,1489.6,0.0031875333329999997,224.03,141.186,185.805,185.797
453,input/TTF\Firefox 2023-05-22 20.34 profile(2).json,31996108,4389.881081081081,0.003027920834,194.069,120.031,140.243,157.384
454,input/TTF\Firefox 2023-05-22 20.34 profile.json,30916238,3280.1739130434785,0.0029901666669999998,192.667,131.06,141.515,151.683
455,input/TTF\Firefox 2023-05-22 20.35 profile(1).json,30965093,3138.2978723404253,0.002987395834,202.098,126.06,160.51,162.691
456,input/TTF\Firefox 2023-05-22 20.35 profile.json,32645074,2786.56,0.0034247125,218.578,124.531,169.939,177.44
457,input/TTF\Firefox 2023-05-22 20.50 profile(1).json,32219778,3045.035532994924,0.0034135874999999998,216.907,147.654,172.121,189.291
458,input/TTF\Firefox 2023-05-22 20.50 profile.json,31653758,3064.5833333333335,0.0043169083329999995,281.664,163.564,211.428,241.883
459,input/TTF\Firefox 2023-05-22 20.51 profile(1).json,32197844,1855.7703349282297,0.0035806958329999998,230.853,157.562,182.272,190.422
460,input/TTF\Firefox 2023-05-22 20.51 profile.json,30496725,2087.876923076923,0.003436529167,212.677,140.308,177.033,177.318
461,input/TTF\Firefox 2023-05-22 20.52 profile(1).json,31548724,1748.734693877551,0.003158891667,203.543,133.917,165.037,165.433
462,input/TTF\Firefox 2023-05-22 20.52 profile(2).json,32271071,2212.822966507177,0.003423308333,216.018,157.411,168.792,177.44
463,input/TTF\Firefox 2023-05-22 20.52 profile.json,32675367,2860.2020202020203,0.0031289625,206.958,135.333,167.649,173.647
464,input/TTF\Firefox 2023-05-22 20.53 profile(1).json,29660744,1737.8181818181818,0.003374891667,225.241,143.753,183.57,186.226
465,input/TTF\Firefox 2023-05-22 20.53 profile.json,32686551,1824.3555555555556,0.0039619749999999995,273.816,202.862,234.217,235.342
466,input/TTF\Firefox 2023-05-22 20.54 profile(1).json,32454150,1779.7818181818182,0.003347641667,214.931,139.749,174.214,177.974
467,input/TTF\Firefox 2023-05-22 20.54 profile(2).json,30893404,1936.6187845303868,0.002724766667,191.263,118.528,163.258,163.189
468,input/TTF\Firefox 2023-05-22 20.54 profile.json,33042222,2681.63184079602,0.003517316667,226.463,155.222,181.542,185.505
469,input/TTF\Firefox 2023-05-22 20.55 profile(1).json,30253981,3541.480662983425,0.002973541667,197.477,115.2,156.194,158.481
470,input/TTF\Firefox 2023-05-22 20.55 profile.json,32657118,2047.12,0.003351979167,213.2,142.029,170.481,175.565
471,input/TTF\Firefox 2023-05-22 20.56 profile(1).json,31438287,1946.5384615384614,0.003593,226.913,157.328,184.58,188.578
472,input/TTF\Firefox 2023-05-22 20.56 profile(2).json,30867389,4292.894117647059,0.003600795833,233.236,127.726,186.731,185.99
473,input/TTF\Firefox 2023-05-22 20.56 profile.json,32338658,2477.9303482587065,0.0032026875,207.897,125.609,156.4,167.679
474,input/TTF\Firefox 2023-05-22 20.57 profile(1).json,32135099,2355.230769230769,0.0035426791669999997,226.782,131.23,188.908,186.299
475,input/TTF\Firefox 2023-05-22 20.57 profile.json,33869550,1511.2478632478633,0.0035447625,260.388,181.469,209.231,232.051
476,input/TTF\Firefox 2023-05-22 20.58 profile(1).json,32757963,2838.8899521531102,0.0032786875,209.542,133.846,159.323,172.411
477,input/TTF\Firefox 2023-05-22 20.58 profile(2).json,30934419,3218.2988505747126,0.0036329624999999997,229.802,131.988,195.339,188.481
478,input/TTF\Firefox 2023-05-22 20.58 profile.json,32304851,2968.8442211055276,0.0028931125,197.316,138.02,149.831,161.621
479,input/TTF\Firefox 2023-05-22 20.59 profile(1).json,32593794,1511.7948717948718,0.0040217333329999995,267.132,190.185,223.895,224.651
480,input/TTF\Firefox 2023-05-22 20.59 profile(2).json,32566840,2556.5771144278606,0.003525483333,211.364,141.331,170.603,175.465
481,input/TTF\Firefox 2023-05-22 20.59 profile.json,32265122,1966.7522935779816,0.003515895833,216.823,136.883,177.558,176.813
482,input/TTF\Firefox 2023-05-22 21.00 profile(1).json,32245702,3294.391061452514,0.0027867499999999997,194.501,121.811,139.423,154.376
483,input/TTF\Firefox 2023-05-22 21.00 profile.json,32337644,2539.84,0.0033744375,200.35,131.596,161.311,163.668
