Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
297,input/WOFF\Firefox 2023-05-21 22.13 profile(1).json,28904775,8313.62091503268,0.0030055249999999998,187.213,110.852,138.265,146.422
298,input/WOFF\Firefox 2023-05-21 22.13 profile(2).json,28990083,6012.545454545455,0.0033682916669999998,213.794,136.956,152.512,163.618
299,input/WOFF\Firefox 2023-05-21 22.13 profile.json,28431437,7993.643835616438,0.0028142625,176.063,103.847,113.31,137.342
300,input/WOFF\Firefox 2023-05-21 22.14 profile(1).json,28059373,13951.539568345324,0.002954329166,188.443,103.92,131.769,149.624
301,input/WOFF\Firefox 2023-05-21 22.14 profile.json,27763498,7411.1194968553455,0.002781275,168.856,88.962,108.254,119.324
302,input/WOFF\Firefox 2023-05-21 22.15 profile(1).json,29454371,5334.945054945055,0.002818216667,174.892,103.655,125.667,135.205
303,input/WOFF\Firefox 2023-05-21 22.15 profile(2).json,28243926,9240.666666666666,0.003041625,190.056,117.487,142.647,150.411
304,input/WOFF\Firefox 2023-05-21 22.15 profile.json,26703033,8557.664233576643,0.002437475,147.024,81.106,102.945,108.556
305,input/WOFF\Firefox 2023-05-21 22.16 profile(1).json,28178370,9226.453333333333,0.0021646708329999998,155.494,99.027,113.391,115.319
306,input/WOFF\Firefox 2023-05-21 22.16 profile(2).json,27790690,4145.309941520468,0.002744725,170.711,108.034,126.757,128.753
307,input/WOFF\Firefox 2023-05-21 22.16 profile.json,29581134,7600.8421052631575,0.002896275,186.891,116.607,135.821,144.126
308,input/WOFF\Firefox 2023-05-21 22.17 profile(1).json,28225843,4234.8729281767955,0.002765066666,177.501,99.709,133.564,139.899
309,input/WOFF\Firefox 2023-05-21 22.17 profile.json,29080801,8431.705521472393,0.0030978875,199.623,108.373,143.79,158.45
310,input/WOFF\Firefox 2023-05-21 22.18 profile(1).json,27770090,6862.190476190476,0.002579616666,161.436,85.626,114.972,123.415
311,input/WOFF\Firefox 2023-05-21 22.18 profile(2).json,29794168,3295.0,0.0033773958339999998,217.757,157.355,169.668,174.212
312,input/WOFF\Firefox 2023-05-21 22.18 profile.json,29093522,6995.282051282052,0.002991270833,195.598,92.608,149.633,154.054
313,input/WOFF\Firefox 2023-05-21 22.19 profile(1).json,28946355,4308.0,0.002789533333,177.249,115.208,122.306,138.384
314,input/WOFF\Firefox 2023-05-21 22.19 profile.json,29035450,8107.270440251572,0.0027142125,177.758,108.132,132.083,136.406
315,input/WOFF\Firefox 2023-05-21 22.20 profile(1).json,28750397,7954.382978723404,0.0028286624999999998,169.302,90.736,113.947,127.151
316,input/WOFF\Firefox 2023-05-21 22.20 profile(2).json,28278025,5331.428571428572,0.002811720833,175.802,114.782,133.442,132.169
317,input/WOFF\Firefox 2023-05-21 22.20 profile.json,29704491,5733.565217391304,0.003455304167,217.184,126.563,168.141,168.763
318,input/WOFF\Firefox 2023-05-21 22.21 profile(1).json,27252454,6233.157232704402,0.002584745833,154.743,97.643,103.793,116.142
319,input/WOFF\Firefox 2023-05-21 22.21 profile.json,28878235,4170.536585365854,0.0026336,166.081,104.074,109.844,123.628
320,input/WOFF\Firefox 2023-05-21 22.22 profile(1).json,29180946,6790.360248447205,0.002721516666,167.358,100.897,119.084,126.808
321,input/WOFF\Firefox 2023-05-21 22.22 profile(2).json,29118271,5799.0918918918915,0.002801675,171.8,125.623,134.173,142.33
322,input/WOFF\Firefox 2023-05-21 22.22 profile.json,27821139,4043.0163934426228,0.002894308333,176.958,108.488,122.367,133.833
