Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
212,input/OTF\Firefox 2023-05-21 17.28 profile(1).json,30808962,2093.374358974359,0.003140054167,194.843,109.347,143.015,153.383
213,input/OTF\Firefox 2023-05-21 17.31 profile(1).json,33002485,2059.921568627451,0.0034995166669999998,223.053,147.392,167.928,180.944
214,input/OTF\Firefox 2023-05-21 17.32 profile(1).json,32750349,2779.063829787234,0.002934754166,188.674,98.692,138.484,142.837
215,input/OTF\Firefox 2023-05-21 17.32 profile.json,31419536,2344.7128712871286,0.0032187,194.993,103.718,146.7,151.915
216,input/OTF\Firefox 2023-05-21 17.33 profile(1).json,31244888,1981.142857142857,0.003290183333,201.002,117.782,152.495,158.298
217,input/OTF\Firefox 2023-05-21 17.33 profile(2).json,31818471,2923.6363636363635,0.003096704167,185.621,102.782,132.271,143.792
218,input/OTF\Firefox 2023-05-21 17.33 profile.json,30416715,1816.676616915423,0.002948695834,203.201,120.112,152.205,161.194
219,input/OTF\Firefox 2023-05-21 17.35 profile(1).json,30150998,2207.481081081081,0.00293815,194.471,116.209,141.791,149.4
220,input/OTF\Firefox 2023-05-21 17.35 profile(2).json,32544283,2399.4615384615386,0.003029158334,195.392,113.37,134.767,146.42
221,input/OTF\Firefox 2023-05-21 17.35 profile.json,32600538,3177.2203389830506,0.0030495125,190.018,119.455,145.086,158.823
222,input/OTF\Firefox 2023-05-21 17.36 profile.json,32811359,2249.064039408867,0.003085320834,197.037,111.772,128.824,152.736
223,input/OTF\Firefox 2023-05-21 17.37 profile(1).json,33167036,2520.782608695652,0.0029021625,182.559,99.349,126.714,142.924
224,input/OTF\Firefox 2023-05-21 17.37 profile.json,32663416,1760.862745098039,0.0031810124999999997,207.457,121.116,143.015,163.068
225,input/OTF\Firefox 2023-05-21 17.39 profile(1).json,31352757,1841.5567567567568,0.0028753999999999997,185.233,106.199,137.443,143.819
226,input/OTF\Firefox 2023-05-21 17.39 profile.json,33304693,2644.4867724867727,0.0030742499999999997,196.641,112.752,140.843,153.359
227,input/OTF\Firefox 2023-05-21 17.40 profile(1).json,31811926,1735.7575757575758,0.003349345833,210.055,125.873,158.865,167.262
228,input/OTF\Firefox 2023-05-21 17.41 profile(2).json,31372488,2570.468085106383,0.002927779166,190.317,118.664,127.575,145.036
229,input/OTF\Firefox 2023-05-21 17.41 profile.json,31843567,4428.666666666667,0.002648008333,172.408,104.817,122.211,136.03
230,input/OTF\Firefox 2023-05-21 17.42 profile(1).json,34322405,1947.3886462882097,0.0034814625,218.038,127.482,162.519,173.929
231,input/OTF\Firefox 2023-05-21 17.45 profile(2).json,33269545,3119.186440677966,0.003149791667,184.118,104.284,132.972,142.223
232,input/OTF\Firefox 2023-05-21 17.45 profile.json,33375491,2319.283582089552,0.002767595833,190.526,103.569,131.958,149.52
233,input/OTF\Firefox 2023-05-21 17.46 profile.json,31277863,1886.360975609756,0.003224470833,205.265,117.73,155.343,157.44
234,input/OTF\Firefox 2023-05-21 17.47 profile(1).json,32763179,1730.88,0.003337466666,207.83,119.965,147.215,159.996
235,input/OTF\Firefox 2023-05-21 17.49 profile(1).json,32552396,2631.1666666666665,0.002703933334,179.187,99.872,125.717,137.014
236,input/OTF\Firefox 2023-05-21 17.50 profile(2).json,32254059,2198.6019417475727,0.003230933333,202.425,119.435,144.527,160.039
237,input/OTF\Firefox 2023-05-21 17.50 profile.json,32760845,1972.4670050761422,0.002857220833,182.962,101.526,124.192,142.829
238,input/OTF\Firefox 2023-05-21 17.51 profile.json,32344872,2551.431693989071,0.0031035125,197.416,101.768,137.933,149.424
239,input/OTF\Firefox 2023-05-21 17.52 profile(2).json,31075542,3364.5057471264367,0.003130029167,201.534,122.518,146.825,153.046
240,input/OTF\Firefox 2023-05-21 17.52 profile.json,31474751,2197.74358974359,0.002978633333,194.095,123.268,144.873,152.271
241,input/OTF\Firefox 2023-05-21 17.55 profile.json,32914871,1948.9261083743843,0.003162933333,199.079,115.034,135.678,153.894
242,input/OTF\Firefox 2023-05-21 17.56 profile.json,32615178,1404.9257641921397,0.003639454166,232.587,149.343,183.169,185.414
243,input/OTF\Firefox 2023-05-21 18.54 profile(1).json,34239431,1616.842105263158,0.003112916667,201.358,113.137,148.134,157.913
244,input/OTF\Firefox 2023-05-21 18.54 profile(2).json,33089310,2419.783251231527,0.0027190125,189.138,112.86,134.987,155.427
245,input/OTF\Firefox 2023-05-21 18.54 profile.json,32179318,2209.8823529411766,0.0032480625,203.325,112.816,126.03,157.808
246,input/OTF\Firefox 2023-05-21 18.55 profile(1).json,33647566,3179.0315789473684,0.002969104167,185.096,101.627,124.68,143.046
247,input/OTF\Firefox 2023-05-21 18.55 profile.json,32882201,2618.72625698324,0.003293875,194.644,111.585,137.951,151.155
248,input/OTF\Firefox 2023-05-21 18.56 profile(1).json,31233509,1915.36,0.0032993124999999997,213.002,126.263,168.058,170.54
249,input/OTF\Firefox 2023-05-21 18.56 profile.json,30750803,2359.322033898305,0.0029856125,183.325,103.883,138.55,142.795
250,input/OTF\Firefox 2023-05-21 18.58 profile.json,33397475,2404.1481481481483,0.002934420833,192.417,104.411,138.365,151.484
251,input/OTF\Firefox 2023-05-21 18.59 profile(1).json,32614341,1455.778801843318,0.003281158333,208.606,134.235,146.924,170.131
252,input/OTF\Firefox 2023-05-21 18.59 profile.json,32269969,1948.768472906404,0.003204004167,202.231,109.138,146.354,155.599
253,input/OTF\Firefox 2023-05-21 19.00 profile(1).json,35298594,2139.7073170731705,0.003204583333,198.658,114.678,139.27,154.585
254,input/OTF\Firefox 2023-05-21 19.00 profile.json,32922862,1845.9381443298969,0.003155066667,198.104,113.494,140.563,160.368
255,input/OTF\Firefox 2023-05-21 19.01 profile(1).json,31926474,2329.8333333333335,0.002928554166,179.649,104.775,129.196,129.54
256,input/OTF\Firefox 2023-05-21 19.01 profile.json,32277975,1857.9622641509434,0.003588308333,230.371,151.294,173.488,177.27
257,input/OTF\Firefox 2023-05-21 19.02 profile.json,32534965,2385.6243654822333,0.0030569583329999998,195.689,110.61,148.469,154.877
258,input/OTF\Firefox 2023-05-21 19.03 profile.json,32819840,2667.0,0.00304345,187.151,101.538,130.977,140.126
259,input/OTF\Firefox 2023-05-21 19.04 profile(1).json,32213323,2333.2,0.002767995833,193.478,110.929,133.759,151.888
260,input/OTF\Firefox 2023-05-21 19.04 profile.json,29945409,1738.0594059405942,0.0030109125,193.357,108.61,144.198,152.361
261,input/OTF\Firefox 2023-05-21 19.06 profile(1).json,32666534,3435.2410256410258,0.002700029167,172.736,110.058,127.439,141.091
262,input/OTF\Firefox 2023-05-21 19.07 profile(1).json,33398211,3053.347593582888,0.002946454167,185.726,105.124,132.035,142.035
